,candle_end_time,high,low,line_no
0,1999-11-10,29.8,27.0,0
1,1999-11-11,28.38,27.53,1
2,1999-11-12,28.3,27.77,2
3,1999-11-15,28.25,27.7,3
4,1999-11-16,27.97,26.48,4
5,1999-11-17,27.18,26.37,5
6,1999-11-19,27.58,26.8,7
7,1999-11-22,26.95,26.3,8
8,1999-11-24,26.55,26.01,10
9,1999-11-26,26.66,26.15,12
10,1999-11-29,26.83,26.22,13
11,1999-11-30,26.5,26.11,14
12,1999-12-02,26.9,26.22,16
13,1999-12-03,26.65,26.2,17
14,1999-12-06,26.35,25.6,18
15,1999-12-08,25.76,25.5,20
16,1999-12-10,25.55,25.22,22
17,1999-12-14,26.45,25.7,24
18,1999-12-16,26.9,25.95,26
19,1999-12-17,26.13,25.51,27
20,1999-12-21,25.55,25.14,28
21,1999-12-22,25.35,25.05,29
22,1999-12-23,25.3,24.7,30
23,1999-12-24,25.07,24.59,31
24,1999-12-29,24.97,24.5,34
25,1999-12-30,24.99,24.65,35
26,2000-01-04,25.78,24.75,36
27,2000-01-06,26.3,25.15,38
28,2000-01-07,27.5,26.12,39
29,2000-01-10,27.85,26.71,40
30,2000-01-11,27.3,26.12,41
31,2000-01-13,25.25,24.8,43
32,2000-01-14,25.0,23.91,44
33,2000-01-17,24.44,23.75,45
34,2000-01-19,24.57,23.98,47
35,2000-01-20,24.65,24.1,48
36,2000-01-21,24.63,24.08,49
37,2000-01-24,24.25,23.95,50
38,2000-01-26,25.16,24.31,52
39,2000-01-27,24.78,24.2,53
40,2000-01-28,25.1,24.56,54
41,2000-02-15,27.48,25.65,56
42,2000-02-21,25.0,24.2,60
43,2000-02-22,26.0,24.6,61
44,2000-02-28,24.97,24.35,65
45,2000-02-29,25.6,24.8,66
46,2000-03-01,27.1,25.17,67
47,2000-03-02,26.0,25.1,68
48,2000-03-06,26.9,25.58,70
49,2000-03-08,26.18,25.01,72
50,2000-03-10,27.49,25.51,74
51,2000-03-13,25.98,25.36,75
52,2000-03-15,25.42,24.8,77
53,2000-03-16,25.08,24.28,78
54,2000-03-21,25.2,24.82,81
55,2000-03-23,25.71,25.2,83
56,2000-03-24,27.05,25.51,84
57,2000-03-28,26.26,25.25,86
58,2000-03-29,25.7,25.06,87
59,2000-03-30,25.72,25.25,88
60,2000-04-03,25.5,25.1,90
61,2000-04-04,25.2,24.86,91
62,2000-04-06,25.49,25.06,93
63,2000-04-11,26.08,25.43,96
64,2000-04-13,25.88,25.35,98
65,2000-04-17,26.2,25.6,100
66,2000-04-18,25.45,25.01,101
67,2000-04-20,25.78,25.19,103
68,2000-04-21,25.49,25.0,104
69,2000-04-25,25.09,24.75,106
70,2000-04-26,25.57,24.8,107
71,2000-04-27,25.2,24.68,108
72,2000-04-28,25.0,24.65,109
73,2000-05-09,24.9,24.35,110
74,2000-05-10,24.51,23.98,111
75,2000-05-12,24.1,23.8,113
76,2000-05-17,23.35,23.01,116
77,2000-05-18,23.3,23.0,117
78,2000-05-19,23.69,23.25,118
79,2000-05-24,23.96,23.3,121
80,2000-05-26,24.5,23.85,123
81,2000-05-29,23.98,23.6,124
82,2000-05-30,23.95,23.35,125
83,2000-06-01,23.68,23.3,127
84,2000-06-05,23.97,23.59,129
85,2000-06-06,23.98,23.65,130
86,2000-06-07,24.18,23.72,131
87,2000-06-08,24.34,23.81,132
88,2000-06-09,24.25,23.51,133
89,2000-06-12,23.72,23.39,134
90,2000-06-13,24.0,23.66,135
91,2000-06-15,24.69,24.15,137
92,2000-06-16,24.5,23.88,138
93,2000-06-19,24.15,23.68,139
94,2000-06-20,23.83,23.61,140
95,2000-06-21,23.75,23.5,141
96,2000-06-22,23.8,23.51,142
97,2000-06-23,23.67,23.4,143
98,2000-06-26,23.69,23.47,144
99,2000-06-28,23.67,23.35,146
100,2000-06-29,23.6,23.23,147
101,2000-06-30,23.7,23.25,148
102,2000-07-03,23.5,23.2,149
103,2000-07-04,23.3,23.12,150
104,2000-07-05,23.47,23.15,151
105,2000-07-06,23.27,23.01,152
106,2000-07-07,23.32,23.05,153
107,2000-07-10,23.4,23.06,154
108,2000-07-11,23.57,23.1,155
109,2000-07-12,23.95,23.46,156
110,2000-07-13,23.8,23.36,157
111,2000-07-14,23.6,23.27,158
112,2000-07-17,23.69,23.34,159
113,2000-07-18,23.47,23.25,160
114,2000-07-19,23.8,23.36,161
115,2000-07-21,23.88,23.44,163
116,2000-07-24,23.65,23.28,164
117,2000-07-26,23.52,23.2,166
118,2000-08-01,25.7,24.0,170
119,2000-08-07,24.0,23.66,174
120,2000-08-08,24.03,23.8,175
121,2000-08-09,24.3,23.87,176
122,2000-08-10,24.2,23.85,177
123,2000-08-11,24.05,23.8,178
124,2000-08-15,24.42,24.0,180
125,2000-08-16,24.23,23.87,181
126,2000-08-18,24.5,24.02,183
127,2000-08-21,24.14,23.92,184
128,2000-08-22,24.06,23.8,185
129,2000-08-23,23.88,23.2,186
130,2000-08-28,23.97,23.6,189
131,2000-08-29,23.69,23.48,190
132,2000-08-30,23.6,23.3,191
133,2000-09-01,23.49,23.2,193
134,2000-09-04,23.4,23.05,194
135,2000-09-05,23.3,22.3,195
136,2000-09-06,22.42,22.02,196
137,2000-09-08,22.5,22.1,198
138,2000-09-12,22.55,22.2,200
139,2000-09-13,22.97,22.36,201
140,2000-09-14,22.6,22.25,202
141,2000-09-15,22.37,22.1,203
142,2000-09-18,22.28,21.72,204
143,2000-09-19,21.7,21.08,205
144,2000-09-20,21.49,21.0,206
145,2000-09-25,21.58,21.18,209
146,2000-09-26,21.6,21.3,210
147,2000-09-27,22.0,21.5,211
148,2000-09-29,21.77,21.48,213
149,2000-10-09,21.69,21.25,214
150,2000-10-10,21.97,21.3,215
151,2000-10-11,22.26,21.8,216
152,2000-10-13,21.96,21.55,218
153,2000-10-16,21.88,21.31,219
154,2000-10-17,21.48,21.23,220
155,2000-10-18,21.61,21.32,221
156,2000-10-20,21.5,21.19,223
157,2000-10-23,22.09,21.6,224
158,2000-10-24,21.85,21.55,225
159,2000-10-26,22.08,21.65,227
160,2000-10-27,21.7,21.36,228
161,2000-11-01,21.5,21.28,231
162,2000-11-03,21.8,21.38,233
163,2000-11-07,21.45,21.28,235
164,2000-11-08,21.6,21.3,236
165,2000-11-09,21.79,21.45,237
166,2000-11-13,22.28,21.95,239
167,2000-11-14,22.2,21.89,240
168,2000-11-15,22.48,22.01,241
169,2000-11-16,22.4,21.98,242
170,2000-11-17,22.25,21.84,243
171,2000-11-20,21.89,21.7,244
172,2000-11-21,22.18,21.84,245
173,2000-11-23,22.48,22.0,246
174,2000-11-24,23.35,22.22,247
175,2000-11-28,22.35,22.0,249
176,2000-11-29,22.26,21.85,250
177,2000-12-01,22.11,21.84,252
178,2000-12-04,22.05,21.74,253
179,2000-12-05,22.2,21.88,254
180,2000-12-06,22.1,21.73,255
181,2000-12-08,21.72,21.58,257
182,2000-12-12,21.65,21.3,259
183,2000-12-13,21.73,21.4,260
184,2000-12-14,22.05,21.48,261
185,2000-12-15,22.13,21.71,262
186,2000-12-18,22.4,21.8,263
187,2000-12-19,22.12,21.45,264
188,2000-12-21,21.44,21.28,266
189,2000-12-22,21.4,21.02,267
190,2000-12-28,20.75,20.5,271
191,2001-01-03,21.0,20.71,274
192,2001-01-04,20.84,20.6,275
193,2001-01-05,20.7,20.28,276
194,2001-01-08,20.36,19.85,277
195,2001-01-09,20.23,19.75,278
196,2001-01-10,20.43,20.1,279
197,2001-01-11,20.85,20.3,280
198,2001-01-12,20.54,20.19,281
199,2001-01-15,20.48,19.9,282
200,2001-01-16,20.18,19.8,283
201,2001-01-17,20.5,20.1,284
202,2001-01-18,20.59,20.26,285
203,2001-02-05,20.91,20.6,287
204,2001-02-06,20.2,19.92,288
205,2001-02-07,20.35,20.01,289
206,2001-02-08,20.1,19.85,290
207,2001-02-09,20.28,19.88,291
208,2001-02-13,20.55,20.14,293
209,2001-02-14,20.2,20.0,294
210,2001-02-15,20.1,19.89,295
211,2001-02-16,20.02,19.88,296
212,2001-02-20,20.2,19.92,298
213,2001-02-21,20.0,19.3,299
214,2001-02-23,19.35,19.0,301
215,2001-02-26,20.65,19.88,302
216,2001-02-28,19.9,19.68,304
217,2001-03-01,20.14,19.71,305
218,2001-03-05,20.7,20.25,307
219,2001-03-06,20.38,20.08,308
220,2001-03-09,21.14,20.7,311
221,2001-03-12,20.93,20.61,312
222,2001-03-14,20.7,20.25,314
223,2001-03-16,20.9,20.5,316
224,2001-03-19,20.55,20.35,317
225,2001-03-20,20.75,20.46,318
226,2001-03-21,21.1,20.56,319
227,2001-03-22,21.39,21.01,320
228,2001-03-23,21.24,20.61,321
