,Unnamed: 0,candle_end_time,high,low,line_no,type,signal,分型点
0,0,1999-11-10,29.8,27.0,0,,,
1,1,1999-11-11,28.38,27.53,1,,,
2,2,1999-11-12,28.3,27.77,2,,,
3,3,1999-11-15,28.25,27.7,3,,,
4,4,1999-11-16,27.97,26.48,4,,,
5,5,1999-11-17,27.18,26.37,5,,,底分型底点
6,6,1999-11-19,27.58,26.8,7,底分型信号确认,0.0,顶分型顶点
7,7,1999-11-22,26.95,26.3,8,顶分型信号确认,1.0,
8,8,1999-11-24,26.55,26.01,10,,,底分型底点
9,9,1999-11-26,26.66,26.15,12,底分型信号确认,0.0,
10,10,1999-11-29,26.83,26.22,13,,,顶分型顶点
11,11,1999-11-30,26.5,26.11,14,顶分型信号确认,1.0,底分型底点
12,12,1999-12-02,26.9,26.22,16,底分型信号确认,0.0,顶分型顶点
13,13,1999-12-03,26.65,26.2,17,顶分型信号确认,1.0,
14,14,1999-12-06,26.35,25.6,18,,,
15,15,1999-12-08,25.76,25.5,20,,,
16,16,1999-12-10,25.55,25.22,22,,,底分型底点
17,17,1999-12-14,26.45,25.7,24,底分型信号确认,0.0,
18,18,1999-12-16,26.9,25.95,26,,,顶分型顶点
19,19,1999-12-17,26.13,25.51,27,顶分型信号确认,1.0,
20,20,1999-12-21,25.55,25.14,28,,,
21,21,1999-12-22,25.35,25.05,29,,,
22,22,1999-12-23,25.3,24.7,30,,,
23,23,1999-12-24,25.07,24.59,31,,,
24,24,1999-12-29,24.97,24.5,34,,,底分型底点
25,25,1999-12-30,24.99,24.65,35,底分型信号确认,0.0,
26,26,2000-01-04,25.78,24.75,36,,,
27,27,2000-01-06,26.3,25.15,38,,,
28,28,2000-01-07,27.5,26.12,39,,,
29,29,2000-01-10,27.85,26.71,40,,,顶分型顶点
30,30,2000-01-11,27.3,26.12,41,顶分型信号确认,1.0,
31,31,2000-01-13,25.25,24.8,43,,,
32,32,2000-01-14,25.0,23.91,44,,,
